ite,Acuracia,tExecS,MediaAcCumulativa,MediaTCumulativa
1,78.41554293825408,0.3597240447998047,78.41554293825408,0.3597240447998047
2,78.41554293825408,0.3341526985168457,78.41554293825408,0.3469383716583252
3,78.20706174591909,0.3324389457702636,78.34604920747574,0.342105229695638
4,78.21149751596877,0.3263630867004394,78.312411284599,0.3381696939468384
5,78.41554293825408,0.336904764175415,78.33303761533001,0.3379167079925537
6,78.41554293825408,0.3362810611724853,78.34678850248402,0.337644100189209
7,78.41554293825408,0.3091633319854736,78.35661056473688,0.3335754190172468
8,78.41554293825408,0.3204562664031982,78.36397711142652,0.3319355249404907
9,78.14939673527324,0.360518217086792,78.3401348474095,0.3351113796234131
10,78.41554293825408,0.3282535076141357,78.34767565649395,0.3344255924224854
11,78.41554293825408,0.3228495121002197,78.35384540938122,0.3333732214840976
12,78.41554293825408,0.3280527591705322,78.35898687012063,0.3329298496246338
13,78.41554293825408,0.3448586463928222,78.36333733690012,0.3338474493760329
14,78.41554293825408,0.3340764045715332,78.3670663084254,0.33386380331856863
15,78.41554293825408,0.3307952880859375,78.3702980837473,0.3336592356363932
16,78.41554293825408,0.3270308971405029,78.37312588715398,0.3332449644804001
17,78.41554293825408,0.3172550201416015,78.37562100780691,0.3323043795192943
18,78.41554293825408,0.3231244087219238,78.37783889283176,0.3317943811416626
19,78.41554293825408,0.3209834098815918,78.37982331627504,0.33122538265429047
20,78.41554293825408,0.3238413333892822,78.38160929737398,0.33085618019104
21,78.41554293825408,0.327409029006958,78.38322518503495,0.3306920301346552
22,78.41554293825408,0.3365638256072998,78.38469417381762,0.3309589299288663
23,78.41554293825408,0.3276641368865967,78.3860354244453,0.33081567805746326
24,78.41554293825408,0.3395569324493408,78.38726490418732,0.3311798969904582
25,78.41554293825408,0.3312947750091553,78.38839602555,0.33118449211120604
26,78.41554293825408,0.3422114849090576,78.38944013757707,0.33160860721881574
27,78.41554293825408,0.3360633850097656,78.39040690797252,0.3317735989888509
28,78.41554293825408,0.3357217311859131,78.3913046233397,0.33191460371017456
29,78.13165365507452,0.3314805030822754,78.38235114167539,0.3318996347230056
30,78.41554293825408,0.3327028751373291,78.38345753489467,0.33192640940348306
31,78.41554293825408,0.3175549507141113,78.38449254790626,0.3314628139618904
32,78.28246983676365,0.3341202735900879,78.38130433818306,0.3315458595752716
33,78.41554293825408,0.3167805671691894,78.38234187151853,0.331098426472057
34,78.41554293825408,0.3360271453857422,78.38331837348134,0.3312433887930477
35,78.41554293825408,0.3244223594665527,78.38423907533199,0.3310485022408622
36,78.41554293825408,0.3231184482574463,78.38510862707983,0.3308282229635451
37,78.41554293825408,0.3359737396240234,78.38593117603048,0.3309672909813958
38,78.41554293825408,0.3308315277099609,78.38671043293111,0.3309637182637265
39,78.41554293825408,0.3202118873596191,78.38744972793938,0.3306880302918263
40,78.41554293825408,0.3297479152679443,78.38815205819725,0.33066452741622926
41,78.20262597586941,0.3241169452667236,78.38362703179901,0.33050483029063155
42,78.41554293825408,0.3280029296875,78.38438693433366,0.33044526122865225
43,78.41554293825408,0.3365676403045654,78.38511149256436,0.3305876421373944
44,78.41554293825408,0.3344147205352783,78.38580311633004,0.3306746211918918
45,78.41554293825408,0.3309803009033203,78.38646400126169,0.33068141407436796
46,78.41554293825408,0.3303892612457275,78.38709615206587,0.33067506292591925
47,78.41554293825408,0.3180019855499267,78.38770140283582,0.3304054229817492
48,78.41554293825408,0.3172588348388672,78.3882814348237,0.33013153572877246
49,78.41554293825408,0.3344137668609619,78.38883779203657,0.33021892820085796
50,78.41554293825408,0.3237373828887939,78.38937189496092,0.3300892972946167
