ite,Acuracia,tExecS,MediaAcCumulativa,MediaTCumulativa
1,0.9613661814109743,1.3237602710723877,0.9613661814109743,1.3237602710723877
2,0.9692049272116461,0.3191540241241455,0.9652855543113101,0.8214571475982666
3,0.9507278835386338,0.3363025188446045,0.9604329973870848,0.6597389380137125
4,0.9574468085106383,0.3128068447113037,0.9596864501679732,0.5730059146881104
5,0.9664053751399776,0.3315284252166748,0.9610302351623741,0.5247104167938232
6,0.9574468085106383,0.32123684883117676,0.9604329973870848,0.4907981554667155
7,0.9669652855543113,0.32822489738464355,0.9613661814109742,0.4675734043121338
8,0.9630459126539753,0.35597848892211914,0.9615761478163494,0.45362403988838196
9,0.958006718924972,0.35288119316101074,0.9611795446061964,0.44243039025200737
10,0.9624860022396416,0.32543182373046875,0.9613101903695409,0.4307305335998535
11,0.9596864501679732,0.3346989154815674,0.9611625776239439,0.42200038649819116
12,0.9613661814109743,0.32359933853149414,0.9611795446061965,0.41380029916763306
13,0.9596864501679732,0.33313679695129395,0.9610646911878716,0.40759541438176083
14,0.9675251959686451,0.33905601501464844,0.9615261558150697,0.40269974299839567
15,0.9630459126539753,0.35815930366516113,0.9616274729376635,0.39973038037618003
16,0.9585666293393057,0.3325974941253662,0.9614361702127661,0.39553457498550415
17,0.9664053751399776,0.3479022979736328,0.961728476384955,0.392732676337747
18,0.9641657334826428,0.33064842224121094,0.9618638795570487,0.38928355111016166
19,0.9669652855543113,0.3436009883880615,0.9621323746095363,0.38687920570373535
20,0.9675251959686451,0.32068729400634766,0.9624020156774916,0.383569610118866
21,0.9613661814109743,0.3189511299133301,0.9623526902362288,0.3804925396328881
22,0.9636058230683091,0.3358452320098877,0.9624096508195052,0.3784631165591153
23,0.9613661814109743,0.33148622512817383,0.9623642825843517,0.3764206430186396
24,0.9613661814109743,0.3377034664154053,0.962322695035461,0.3748074273268382
25,0.9596864501679732,0.3226962089538574,0.9622172452407614,0.37272297859191894
26,0.9664053751399776,0.342404842376709,0.962378327159962,0.3715568964297955
27,0.9613661814109743,0.3419163227081299,0.9623408402803698,0.37045909740306715
