ite,Acuracia,tExecS,MediaAcCumulativa,MediaTCumulativa
1,0.9692049272116461,1.790933609008789,0.9692049272116461,1.790933609008789
2,0.9720044792833147,2.2927818298339844,0.9706047032474804,2.0418577194213867
3,0.9692049272116461,1.7785511016845703,0.9701381112355355,1.954088846842448
4,0.9720044792833147,2.1517350673675537,0.9706047032474803,2.0035004019737244
5,0.9708846584546472,2.060901403427124,0.9706606942889137,2.014980602264404
6,0.975363941769317,1.960068941116333,0.9714445688689809,2.0058286587397256
7,0.9703247480403135,1.9643020629882812,0.9712845944648857,1.9998962879180908
8,0.9697648376259799,1.7968261241912842,0.9710946248600224,1.97451251745224
9,0.9658454647256439,1.7722446918487549,0.9705113848450915,1.9520383146074083
10,0.961926091825308,1.9215292930603027,0.9696528555431131,1.9489874124526978
11,0.9647256438969765,1.6083714962005615,0.9692049272116461,1.918022329157049
12,0.9686450167973124,2.322098970413208,0.9691582680104517,1.9516953825950623
13,0.9736842105263158,1.833719253540039,0.9695064174347489,1.9426202957446759
14,0.9697648376259799,1.8793041706085205,0.9695248760198368,1.9380977153778076
15,0.9742441209406495,2.16133975982666,0.969839492347891,1.9529805183410645
16,0.9692049272116461,1.9592506885528564,0.9697998320268757,1.9533724039793015
17,0.9664053751399776,1.575380563735962,0.9696001580923523,1.9311375898473404
18,0.9708846584546472,1.860271692276001,0.9696715192235908,1.9272005955378215
19,0.9675251959686451,1.534907579421997,0.9695585548417516,1.9065535946896202
20,0.9669652855543113,2.0742263793945312,0.9694288913773796,1.9149372339248658
21,0.9703247480403135,2.1502673625946045,0.9694715512184716,1.9261434305281866
22,0.9680851063829787,1.8131909370422363,0.9694085309986765,1.9210092262788252
23,0.9692049272116461,1.8999443054199219,0.96939967866011,1.9200933601545251
24,0.9725643896976484,1.7973737716674805,0.9695315416200074,1.9149800439675648
25,0.9669652855543113,1.6661226749420166,0.9694288913773796,1.905025749206543
26,0.9720044792833147,1.8922665119171143,0.9695279524506848,1.9045350093107958
27,0.9720044792833147,1.7943041324615479,0.969619675666708,1.9004523842423051
28,0.9815229563269877,2.024446964263916,0.9700447928331466,1.9048807621002197
29,0.9720044792833147,2.1946475505828857,0.97011236822798,1.9148727203237599
30,0.9703247480403135,1.9951982498168945,0.9701194475550577,1.9175502379735312
31,0.973124300111982,1.7135648727416992,0.9702163782827005,1.9109700649015364
32,0.9697648376259799,1.935673475265503,0.970202267637178,1.9117420464754105
33,0.9708846584546472,2.1448957920074463,0.9702229461467984,1.9188073114915327
34,0.9591265397536394,2.042583465576172,0.9698965812528819,1.9224477866116692
35,0.9720044792833147,1.945641040802002,0.9699568069108943,1.9231104510171073
36,0.9664053751399776,1.7551162242889404,0.9698581560283688,1.9184439447191026
37,0.9613661814109743,1.753671646118164,0.9696286432008716,1.9139906393515098
38,0.9703247480403135,2.061826705932617,0.969646961749278,1.9178810621562756
39,0.9680851063829787,2.0982749462127686,0.9696069141757832,1.9225065463628523
40,0.971444568868981,1.8350813388824463,0.9696528555431131,1.9203209161758423
41,0.9680851063829787,1.6287932395935059,0.9696146177587196,1.9132104850396878
42,0.9720044792833147,2.259701728820801,0.9696715192235908,1.9214602765582858
43,0.9742441209406495,2.067274332046509,0.9697778587984062,1.9248513011045234
44,0.9675251959686451,1.9227948188781738,0.9697266619159116,1.9248045628721064
45,0.9664053751399776,1.499192237854004,0.9696528555431131,1.9153465112050374
46,0.9686450167973124,2.0965282917022705,0.9696309460051609,1.9192852455636729
47,0.9680851063829787,1.5929443836212158,0.9695980558004336,1.9123418229691527
48,0.9686450167973124,1.9686651229858398,0.9695782008212018,1.9135152250528336
49,0.9602463605823068,2.0186731815338135,0.9693877551020408,1.9156613057973433
50,0.9641657334826428,2.0399255752563477,0.9692833146696529,1.9181465911865234
51,0.971444568868981,3.3282744884490967,0.969325692202973,1.945796157799515
52,0.9736842105263158,1.9647440910339355,0.9694095098630373,1.9461605411309462
53,0.9725643896976484,2.21872878074646,0.9694690358976525,1.951303338104824
54,0.9697648376259799,2.106736660003662,0.9694745137074364,1.9541817329548024
55,0.9602463605823068,1.715017318725586,0.9693067291051615,1.9498332890597256
56,0.9725643896976484,1.9729430675506592,0.9693649016157415,1.9502459636756353
57,0.9697648376259799,1.805307388305664,0.9693719180369738,1.9477031816516006
58,0.9624860022396416,2.0837693214416504,0.9692531953508129,1.9500491495790153
59,0.9624860022396416,1.8861243724822998,0.969138497162488,1.9489656787807659
60,0.973124300111982,2.012195110321045,0.9692049272116462,1.9500195026397704
61,0.971444568868981,1.6336853504180908,0.9692416426486518,1.9448336968656446
62,0.9641657334826428,1.9528052806854248,0.9691597731459742,1.9449622707982217
63,0.971444568868981,1.7348356246948242,0.9691960397447521,1.941626927209279
64,0.9675251959686451,1.8028895854949951,0.9691699328107505,1.9394591562449932
65,0.9692049272116461,1.6132774353027344,0.969170471186149,1.9344409759228045
66,0.9692049272116461,1.7776498794555664,0.9691709932471414,1.9320653532490586
67,0.9652855543113102,1.5744223594665527,0.9691130016212335,1.9267273981179764
68,0.9736842105263158,2.082941770553589,0.9691802252816023,1.929024668300853
69,0.9596864501679732,1.9558255672454834,0.9690426343379266,1.9294130871261375
70,0.9736842105263158,1.8906688690185547,0.9691089425691893,1.9288595982960293
71,0.9664053751399776,1.7559819221496582,0.9690708641546932,1.9264247014488973
72,0.9686450167973124,1.9665677547454834,0.969064949608063,1.9269822438557942
73,0.9686450167973124,1.8793079853057861,0.9690591971038061,1.9263291718208626
74,0.9764837625979843,1.8825531005859375,0.9691595290699435,1.925737603290661
