ite,tExecS,MediaTCumulativa,Acuracia,MediaAcCumulativa
1,9.00683307647705,9.00683307647705,0.996412317028168,0.996412317028168
2,8.3603241443634,8.68357861042023,0.996699331665915,0.996555824347042
3,8.4174108505249,8.59485602378845,0.996596826438148,0.996569491710744
4,8.83632206916809,8.65522253513336,0.996644662211106,0.996588284335834
5,8.53602528572083,8.63138308525085,0.996487487528531,0.996568124974374
6,8.93832206726074,8.6825395822525,0.996542156983339,0.996563796975868
7,8.64788746833801,8.67758928026472,0.996706165347766,0.996584135314711
8,8.20385527610779,8.6183725297451,0.996726666393319,0.996601951699537
9,8.87745428085327,8.64715939097934,0.996576325392595,0.996599104332099
10,8.38132405281067,8.62057585716247,0.996589992756297,0.996598193174519
11,8.32652044296265,8.59384354678067,0.996193639208933,0.996561415541284
12,8.89900994300842,8.61927407979965,0.996651495892957,0.996568922237256
13,8.992018699646,8.64794674286476,0.996425984391871,0.996557927018381
14,8.23911595344543,8.61874454362052,0.996487487528531,0.996552895626248
15,8.35237550735474,8.60098660786947,0.996651495892957,0.996559468977362
16,8.27806377410889,8.58080393075943,0.996569491710744,0.996560095398199
17,8.64462471008301,8.58455809424905,0.996487487528531,0.996555824347042
18,8.31011438369751,8.56931122144063,0.996432818073722,0.996548990665191
19,8.96950793266296,8.59037420624181,0.996528489619637,0.996547911662793
20,8.58680629730225,8.59019581079483,0.996801836893682,0.996560607924338
21,8.21795678138733,8.57247014272781,0.996555824347042,0.996560380134942
22,9.03977560997009,8.59371130032973,0.996528489619637,0.996558930566065
23,8.79094839096069,8.60228682600934,0.996282477072997,0.996546910848975
24,8.20839643478394,8.58587472637494,0.996685664302213,0.99655269224286
25,8.25317335128784,8.57256667137146,0.99673350007517,0.996559924556152
26,8.23252511024475,8.55948814978966,0.996473820164828,0.996556612848794
27,8.59976291656494,8.56097980781838,0.996507988574084,0.99655481194973
28,8.97224593162537,8.57566788366863,0.99667199693851,0.996558997127901
29,8.9618444442749,8.58898431679298,0.996521655937786,0.996557709500656
30,8.61429405212402,8.58982797463735,0.996268809709295,0.99654807950761
31,8.91780924797058,8.60040801571262,0.996316645482253,0.996540613893889
32,8.91198778152466,8.61014488339424,0.996494321210382,0.99653916724753
33,8.90337109565735,8.61903052619009,0.996596826438148,0.99654091449573
34,8.96484470367432,8.62920153141022,0.996596826438148,0.996542558964625
35,10.1500270366669,8.67265368870326,0.996261976027444,0.996534542309277
36,9.01156330108643,8.6820678446028,0.996439651755573,0.996531906460563
37,8.23779726028442,8.67006053151311,0.99679500321183,0.99653901718357
38,8.45014715194702,8.664273337314,0.996583159074446,0.996540178812277
39,9.06423926353455,8.67452887388376,0.996528489619637,0.996539879089389
40,8.3814263343811,8.66720131039619,0.996548990665191,0.996540106878784
41,8.93128156661987,8.67364229225531,0.996412317028168,0.996536990053159
42,8.92688417434692,8.67967186087654,0.996596826438148,0.996538414728992
43,8.20340061187744,8.66859578531842,0.996439651755573,0.996536117915657
44,8.84307718276978,8.67256127162413,0.996535323301488,0.996536099856244
45,8.78862309455872,8.6751404232449,0.996692497984064,0.996539575370196
46,8.91838502883911,8.68042834945347,0.996501154892233,0.996538740142414
47,8.33360600471497,8.67304915062925,0.996439651755573,0.996536631878864
48,8.9102931022644,8.67799173295498,0.996658329574808,0.99653916724753
