ite,Acuracia,tExecS,MediaAcCumulativa,MediaTCumulativa
1,0.8780789972307244,1.8524165153503418,0.8780789972307244,1.8524165153503418
2,0.878066851285041,0.9277689456939697,0.8780729242578826,1.3900927305221558
3,0.878066851285041,1.0718464851379395,0.8780708999336021,1.284010648727417
4,0.8780789972307244,1.971888542175293,0.8780729242578826,1.455980122089386
5,0.8780789972307244,0.8615877628326416,0.8780741388524509,1.337101650238037
6,0.878066851285041,0.7222139835357666,0.8780729242578826,1.2346203724543254
7,0.8780789972307244,0.6947331428527832,0.8780737918254314,1.1574936253683907
8,0.8780789972307244,1.2489557266235352,0.878074442501093,1.1689263880252838
9,0.8780789972307244,0.6756868362426758,0.8780749485821632,1.1141219933827717
10,0.8780911431764077,0.7289724349975586,0.8780765680415875,1.0756070375442506
11,0.8780789972307244,0.6841824054718018,0.8780767888769637,1.0400229800831189
12,0.8780789972307244,0.6929399967193604,0.8780769729064438,1.011099398136139
13,0.8780789972307244,0.6695296764373779,0.8780771286236961,0.9848248041593112
14,0.878066851285041,0.881035327911377,0.878076394528078,0.9774112701416016
15,0.878066851285041,1.0742685794830322,0.8780757583118756,0.9838684240976969
16,0.8780789972307244,0.9430992603302002,0.8780759607443036,0.9813203513622284
17,0.878066851285041,1.906468152999878,0.8780754248937588,1.0357408102820902
18,0.8780789972307244,1.1392359733581543,0.8780756233569236,1.0414905415640936
19,0.8780911431764077,1.0262706279754639,0.8780764401895279,1.0406894934804816
20,0.878066851285041,1.1348702907562256,0.8780759607443036,1.0453985333442688
21,0.8780911431764077,1.6063363552093506,0.878076683717261,1.072109858194987
22,0.878066851285041,1.6569271087646484,0.8780762367885238,1.098692460493608
23,0.8780789972307244,1.2625236511230469,0.8780763568077498,1.1058155557383662
24,0.8780911431764077,1.1772234439849854,0.8780769729064439,1.1087908844153087
25,0.8780789972307244,0.8824334144592285,0.8780770538794151,1.0997365856170653
26,0.878066851285041,1.1633713245391846,0.8780766614719392,1.1021840755756085
27,0.878066851285041,1.0929076671600342,0.8780762981316838,1.1018405048935502
28,0.8780789972307244,0.802952766418457,0.878076394528078,1.0911659428051539
29,0.8780789972307244,0.8774797916412354,0.878076484276445,1.0837974548339844
30,0.8780789972307244,0.9079430103302002,0.8780765680415876,1.0779356400171916
31,0.8780789972307244,0.731203556060791,0.8780766464025275,1.0667507340831142
32,0.878066851285041,1.3574209213256836,0.8780763403051061,1.0758341774344444
33,0.8780789972307244,0.8099546432495117,0.8780764208180035,1.0677772218530828
34,0.8780789972307244,0.7596848011016846,0.8780764965948482,1.058715680066277
35,0.8780789972307244,0.8723263740539551,0.8780765680415875,1.0533902713230678
